Position,Driver,Total Points (top 11),Avg Points (top 11),Total Points,Avg Points,Events
1,christopher vreeland,1089.6604922250083,99.06004474772803,1089.6604922250083,99.06004474772803,11
2,Christopher Cook,1089.1365396336673,99.01241269396975,1661.3674573866274,97.72749749333103,17
3,Evan Markewycz,1085.7768939445436,98.70699035859488,1085.7768939445436,98.70699035859488,11
4,Mark Cornelius,1082.0363706429964,98.36694278572695,1175.4119958717386,97.95099965597821,12
5,Jake Jackson,1075.2051640492248,97.74592400447499,1541.8243005888567,96.36401878680354,16
6,Ryan Cowley,1074.7863890019653,97.70785354563321,1643.6138915413696,96.6831700906688,17
7,Cameron DeGroff,1074.1373437708357,97.64884943371234,1553.3993477643578,97.08745923527236,16
8,Skyler Sisson,1070.2136931382147,97.29215392165588,1536.9173814911792,96.0573363431987,16
9,Danial Ebling,1062.5404158465842,96.59458325878039,1497.1239426811944,93.57024641757465,16
10,DYLAN KNUTSON,1055.4780769420863,95.95255244928057,1330.788077919787,95.05629127998478,14
11,Stephen Curtis,1055.1854879125847,95.92595344659861,1517.5558025082967,94.84723765676854,16
12,Eric McAfee,1048.4550315835513,95.31409378032285,1601.014895122405,94.17734677190617,17
13,Christian Mariano,1044.975150543694,94.99774095851764,1127.1237433855417,93.9269786154618,12
14,Rod Derrick,1040.4758740319503,94.5887158210864,1406.4212692083354,93.76141794722236,15
15,Koda Atwood,1039.4968816592846,94.49971651448041,1576.753484550285,92.75020497354618,17
16,Douglas Brown,1035.6159975408405,94.14690886734913,1488.1070619063532,93.00669136914708,16
17,Jade Barlow,1035.4118308528532,94.12834825935029,1309.1845982361797,93.51318558829855,14
18,Brayden Bacigalupo,1033.6852758943853,93.97138871767139,1385.9079771531533,92.39386514354355,15
19,Jeremy Baker,1033.5950932903052,93.96319029911865,1494.094555454314,93.38090971589463,16
20,Brandon Hurst,1028.7562582152486,93.52329620138624,1028.7562582152486,93.52329620138624,11
21,Jake Crookston,1027.5561013413214,93.41419103102922,1654.845778260882,91.935876570049,18
22,Breanna Campbell,1026.1548335623058,93.28680305111871,1112.009485017299,92.66745708477492,12
23,Rusty Horlacher,1025.014566791976,93.18314243563418,1292.2922538934831,92.30658956382022,14
24,Thomas Di Nardo,1024.3169415003063,93.1197219545733,1461.3583848835392,91.3348990552212,16
25,Dana Barlow,1013.5627955475804,92.14207232250732,1537.20393325437,90.42376077966883,17
26,Dave Tille,1011.7606815338569,91.97824377580517,1181.7314928193716,90.90242252456704,13
27,Andrew Maffessanti,1010.9619881292217,91.9056352844747,1175.5027502401024,90.42328848000787,13
28,Anthony Farrington,1010.3275765114572,91.84796150104157,1186.1191030771452,91.23993100593424,13
29,Benjamin Kittrell,1008.2415988587788,91.6583271689799,1175.1259132735534,90.39430102104257,13
30,Justin Scott,1004.9385111664176,91.35804646967432,1004.9385111664176,91.35804646967432,11
31,Ryan Fritsch,997.069435063505,90.64267591486409,997.069435063505,90.64267591486409,11
32,Cristy Crookston,997.0530752936295,90.64118866305722,1510.0394081218817,88.82584753658128,17
33,Josh Hansen,992.8232285331007,90.25665713937279,1410.2964591125885,88.14352869453678,16
34,Mark Brown,989.7435220985534,89.97668382714122,1425.063416756971,89.06646354731069,16
35,Katherine Clarke,989.2751503027756,89.9341045729796,1160.8359326428524,89.29507174175788,13
36,Jeff Clawson,988.3535175670218,89.85031977882016,1677.2518148111783,88.27641130585148,19
37,Meredith Bunsawat,978.6868276509341,88.97152978644856,978.6868276509341,88.97152978644856,11
38,Paul Thon,975.3253310998109,88.6659391908919,1381.0220984068833,86.3138811504302,16
39,Adam Anderson,974.2521669815203,88.56837881650185,1127.2427123129655,86.71097787022812,13
40,Michelle Fritsch,970.4391810376071,88.22174373069156,970.4391810376071,88.22174373069156,11
41,Alex Kim,969.263013721404,88.11481942921854,969.263013721404,88.11481942921854,11
